month,channel,spend_idr,impressions,clicks
2024-01-01,Google Search,3160000,115240,1743
2024-01-01,Instagram Ads,9220000,442423,4603
2024-01-01,Marketplace Ads,4170000,188043,2572
2024-01-01,TikTok Ads,6820000,252310,2334
2024-02-01,Google Search,3420000,184208,1698
2024-02-01,Instagram Ads,8820000,536531,5950
2024-02-01,Marketplace Ads,4370000,224163,3642
2024-02-01,TikTok Ads,6990000,426468,5085
2024-03-01,Google Search,4070000,159890,2464
2024-03-01,Instagram Ads,11080000,471860,4112
2024-03-01,Marketplace Ads,5220000,202465,2309
2024-03-01,TikTok Ads,8700000,465815,4108
2024-04-01,Google Search,4080000,240525,3273
2024-04-01,Instagram Ads,10640000,430117,6029
2024-04-01,Marketplace Ads,4890000,252959,3518
2024-04-01,TikTok Ads,8620000,451887,7416
2024-05-01,Google Search,3840000,152389,1351
2024-05-01,Instagram Ads,10400000,408568,6340
2024-05-01,Marketplace Ads,5060000,228423,2308
2024-05-01,TikTok Ads,8530000,333477,2891
2024-06-01,Google Search,4000000,142642,1567
2024-06-01,Instagram Ads,11590000,697433,7880
2024-06-01,Marketplace Ads,5340000,254670,3752
2024-06-01,TikTok Ads,8920000,541552,4929
2024-07-01,Google Search,4310000,171083,2689
2024-07-01,Instagram Ads,11170000,504069,8268
2024-07-01,Marketplace Ads,5220000,244085,3081
2024-07-01,TikTok Ads,8900000,520250,7059
2024-08-01,Google Search,4640000,208288,1816
2024-08-01,Instagram Ads,12680000,577479,5033
2024-08-01,Marketplace Ads,6080000,282864,3141
2024-08-01,TikTok Ads,9520000,409854,3608
2024-09-01,Google Search,4830000,171685,2507
2024-09-01,Instagram Ads,12840000,753080,8254
2024-09-01,Marketplace Ads,6330000,311929,3646
2024-09-01,TikTok Ads,10570000,403822,4418
2024-10-01,Google Search,5150000,243392,2097
2024-10-01,Instagram Ads,13040000,706732,9212
2024-10-01,Marketplace Ads,6560000,227943,3200
2024-10-01,TikTok Ads,10350000,431428,6031
2024-11-01,Google Search,5790000,288319,2890
2024-11-01,Instagram Ads,15930000,966778,9886
2024-11-01,Marketplace Ads,7590000,467318,6095
2024-11-01,TikTok Ads,12580000,557884,5612
2024-12-01,Google Search,6110000,267365,2791
2024-12-01,Instagram Ads,16960000,790457,12663
2024-12-01,Marketplace Ads,7500000,272110,2384
2024-12-01,TikTok Ads,13390000,673848,8748
2025-01-01,Google Search,5600000,220289,2284
2025-01-01,Instagram Ads,14960000,674764,9154
2025-01-01,Marketplace Ads,7150000,368373,5321
2025-01-01,TikTok Ads,11760000,516759,7651
2025-02-01,Google Search,5450000,329928,5159
2025-02-01,Instagram Ads,15170000,680374,7464
2025-02-01,Marketplace Ads,7340000,281133,3938
2025-02-01,TikTok Ads,12050000,720122,8124
2025-03-01,Google Search,6600000,231316,2741
2025-03-01,Instagram Ads,18140000,877692,7659
2025-03-01,Marketplace Ads,8940000,357518,5492
2025-03-01,TikTok Ads,14770000,589421,5775
2025-04-01,Google Search,6750000,298883,4419
2025-04-01,Instagram Ads,18340000,812632,12319
2025-04-01,Marketplace Ads,8590000,396057,3407
2025-04-01,TikTok Ads,13800000,798570,7381
2025-05-01,Google Search,6240000,230318,2988
2025-05-01,Instagram Ads,17300000,1008112,10766
2025-05-01,Marketplace Ads,8460000,322214,2979
2025-05-01,TikTok Ads,13920000,610332,8574
2025-06-01,Google Search,6900000,416951,5672
2025-06-01,Instagram Ads,18240000,1028381,11227
2025-06-01,Marketplace Ads,9010000,406800,5266
2025-06-01,TikTok Ads,14580000,740877,9599
2025-07-01,Google Search,6620000,248274,2961
2025-07-01,Instagram Ads,18670000,826233,10463
2025-07-01,Marketplace Ads,9130000,432215,4918
2025-07-01,TikTok Ads,14720000,610204,7959
2025-08-01,Google Search,7590000,341592,4820
2025-08-01,Instagram Ads,19500000,1073591,10272
2025-08-01,Marketplace Ads,9640000,393403,5531
2025-08-01,TikTok Ads,16420000,851982,11878
2025-09-01,Google Search,7550000,343297,3036
2025-09-01,Instagram Ads,21270000,799476,9489
2025-09-01,Marketplace Ads,9990000,424562,5743
2025-09-01,TikTok Ads,16990000,796298,7854
2025-10-01,Google Search,8250000,422501,5743
2025-10-01,Instagram Ads,22370000,1129363,9773
2025-10-01,Marketplace Ads,10690000,414967,4101
2025-10-01,TikTok Ads,17380000,621613,9341
2025-11-01,Google Search,9050000,351925,3195
2025-11-01,Instagram Ads,24060000,1071533,14756
2025-11-01,Marketplace Ads,11800000,649340,10373
2025-11-01,TikTok Ads,20020000,1086933,15346
2025-12-01,Google Search,9850000,387591,5478
2025-12-01,Instagram Ads,25560000,912361,11828
2025-12-01,Marketplace Ads,12080000,553167,8336
2025-12-01,TikTok Ads,20730000,717997,6341
