order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,channel,payment_method,city,province,order_status,rating
ORD-2024-000001,2024-01-01,CUST-00197,PRD-005,4,113000,0.0,Shopee,GoPay,Balikpapan,Kalimantan Timur,Completed,2
ORD-2024-000002,2024-01-01,CUST-00515,PRD-010,3,99000,0.1,TikTok Shop,Paylater,Palembang,Sumatera Selatan,Completed,2
ORD-2024-000003,2024-01-01,CUST-00790,PRD-038,3,135000,0.0,Webstore,OVO,Balikpapan,Kalimantan Timur,Completed,5
ORD-2024-000004,2024-01-01,CUST-01167,PRD-014,2,178000,0.0,TikTok Shop,GoPay,Tangerang,Banten,Completed,3
ORD-2024-000005,2024-01-01,CUST-01194,PRD-013,5,145000,0.0,Webstore,DANA,Semarang,Jawa Tengah,Completed,5
ORD-2024-000006,2024-01-01,CUST-01518,PRD-005,3,122000,0.0,Shopee,Bank Transfer,Balikpapan,Kalimantan Timur,Completed,4
ORD-2024-000007,2024-01-01,CUST-01542,PRD-044,1,219000,0.0,TikTok Shop,COD,Depok,Jawa Barat,Completed,
ORD-2024-000008,2024-01-01,CUST-01830,PRD-011,2,135000,0.0,Webstore,ShopeePay,Bekasi,Jawa Barat,Completed,5
ORD-2024-000009,2024-01-01,CUST-01947,PRD-005,4,122000,0.0,Tokopedia,GoPay,Bandung,Jawa Barat,Completed,4
ORD-2024-000010,2024-01-01,CUST-02328,PRD-016,3,38000,0.0,Tokopedia,GoPay,Bogor,Jawa Barat,Completed,4
ORD-2024-000011,2024-01-01,CUST-02460,PRD-032,4,45000,0.0,Tokopedia,ShopeePay,Tangerang,Banten,Returned,
ORD-2024-000012,2024-01-01,CUST-02580,PRD-042,1,289000,0.0,Tokopedia,COD,Malang,Jawa Timur,Completed,
ORD-2024-000013,2024-01-01,CUST-02623,PRD-041,3,259000,0.1,Webstore,Bank Transfer,Solo,Jawa Tengah,Completed,5
ORD-2024-000014,2024-01-01,CUST-02649,PRD-035,2,125000,0.15,Tokopedia,GoPay,Surabaya,Jawa Timur,Completed,
ORD-2024-000015,2024-01-01,CUST-02818,PRD-003,1,118000,0.0,Webstore,Bank Transfer,Denpasar,Bali,Completed,
ORD-2024-000016,2024-01-01,CUST-03113,PRD-015,3,32000,0.15,Webstore,DANA,Bekasi,Jawa Barat,Completed,4
ORD-2024-000017,2024-01-01,CUST-03190,PRD-023,1,235000,0.15,Webstore,Credit Card,Pekanbaru,Riau,Returned,2
ORD-2024-000018,2024-01-01,CUST-03320,PRD-011,5,135000,0.15,TikTok Shop,GoPay,Balikpapan,Kalimantan Timur,Completed,4
ORD-2024-000019,2024-01-01,CUST-03527,PRD-011,2,135000,0.0,Shopee,COD,Bogor,Jawa Barat,Completed,4
ORD-2024-000020,2024-01-01,CUST-03575,PRD-014,2,178000,0.0,TikTok Shop,COD,Denpasar,Bali,Completed,4
ORD-2024-000021,2024-01-01,CUST-03769,PRD-019,1,30000,0.0,Tokopedia,OVO,Balikpapan,Kalimantan Timur,Completed,5
ORD-2024-000022,2024-01-01,CUST-04428,PRD-001,3,115000,0.15,tiktok shop,OVO,Surabaya,Jawa Timur,Completed,5
ORD-2024-000023,01/01/2024,CUST-04786,PRD-032,1,43000,0.0,Shopee,GoPay,Depok,Jawa Barat,Completed,4
ORD-2024-000024,2024-01-01,CUST-04974,PRD-001,3,115000,0.15,TikTok Shop,COD,Bekasi,Jawa Barat,Cancelled,
ORD-2024-000025,2024-01-01,CUST-05068,PRD-015,1,32000,0.0,Tokopedia,DANA,Palembang,Sumatera Selatan,Completed,5
ORD-2024-000026,2024-01-01,CUST-05743,PRD-050,2,1250000,0.0,Webstore,GoPay,Makassar,Sulawesi Selatan,Completed,4
ORD-2024-000027,2024-01-02,CUST-00042,PRD-033,3,89000,0.0,Shopee,ShopeePay,Balikpapan,Kalimantan Timur,Completed,5
ORD-2024-000028,2024-01-02,CUST-00181,PRD-026,1,389000,0.0,TikTok Shop,GoPay,Bandung,Jawa Barat,Returned,2
ORD-2024-000029,2024-01-02,CUST-00523,PRD-008,1,195000,0.0,Tokopedia,ShopeePay,Bandar Lampung,Lampung,Completed,4
ORD-2024-000030,2024-01-02,CUST-00716,PRD-008,3,195000,0.0,Webstore,Credit Card,Semarang,Jawa Tengah,Completed,5
ORD-2024-000031,2024-01-02,CUST-00791,PRD-041,1,259000,0.0,Webstore,OVO,Medan,Sumatera Utara,Completed,5
ORD-2024-000032,2024-01-02,CUST-00796,PRD-021,1,42000,0.0,TikTok Shop,DANA,Balikpapan,Kalimantan Timur,Completed,3
ORD-2024-000033,2024-01-02,CUST-00847,PRD-018,2,25000,0.0,Tokopedia,OVO,Semarang,Jawa Tengah,Completed,4
